"scope","school_type","sed_code","institution_id","legal_name","popular_name","label_name","address","city","zip","county","institution_type","institution_subtype","record_type","district_type","district_name","longitude","latitude","source_layer","source_publication_date","inventory_status"
"Erie County outside Buffalo","public","141604060008","800000052186","FRONTIER SENIOR HIGH SCHOOL","FRONTIER SENIOR HIGH SCHOOL","FRONTIER SENIOR HIGH SCHOOL","S 4432 BAY VIEW RD","HAMBURG","14075","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","FRONTIER CSD","-78.830861534944773","42.768096354840928","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141604060006","800000052184","PINEHURST ELEMENTARY SCHOOL","PINEHURST ELEMENTARY SCHOOL","PINEHURST ELEMENTARY SCHOOL","6050 FAIRWAY CT","LAKE VIEW","14085","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","FRONTIER CSD","-78.940159637571227","42.722523782397857","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","43011020002","800000052175","RANDOLPH ACADEMYHAMBURG CAMPUS","RANDOLPH ACADEMY-HAMBURG CAMPUS","RANDOLPH ACA-HAMBURG CAMPUS","4655 LOGANS LN","HAMBURG","14075","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL SPECIAL ACT","PUBLIC SCHOOL (IMF)"," ","FRONTIER CSD","-78.842522799483973","42.759180540495706","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","42801060001","800000054680","GOWANDA ELEMENTARY SCHOOL","GOWANDA ELEMENTARY SCHOOL","GOWANDA ELEMENTARY SCHOOL","450 ALDRICH ST","GOWANDA","14070","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","GOWANDA CSD","-78.942731795792326","42.474257641263527","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141501060006","800000052211","CHARLOTTE SIDWAY SCHOOL","CHARLOTTE SIDWAY SCHOOL","CHARLOTTE SIDWAY SCHOOL","2451 BASELINE RD","GRAND ISLAND","14072","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","GRAND ISLAND CSD","-78.965025512885745","43.029072285907731","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141501060004","800000052209","GRAND ISLAND SENIOR HIGH SCHOOL","GRAND ISLAND SENIOR HIGH SCHOOL","GRAND ISLAND SENIOR HIGH SCH","1100 RANSOM RD","GRAND ISLAND","14072","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","GRAND ISLAND CSD","-78.933396616680454","43.037061490873022","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141501060001","800000052206","HUTH ROAD SCHOOL","HUTH ROAD SCHOOL","HUTH ROAD SCHOOL","1773 HUTH RD","GRAND ISLAND","14072","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","GRAND ISLAND CSD","-78.957793937721505","43.05289635273968","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141501060003","800000052208","KAEGEBEIN SCHOOL","KAEGEBEIN SCHOOL","KAEGEBEIN SCHOOL","1690 LOVE RD","GRAND ISLAND","14072","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","GRAND ISLAND CSD","-78.954076736688236","42.994941195458431","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141501060005","800000052210","VERONICA E CONNOR MIDDLE SCHOOL","VERONICA E CONNOR MIDDLE SCHOOL","VERONICA E CONNOR MIDDLE SCH","1100 RANSOM RD","GRAND ISLAND","14072","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","GRAND ISLAND CSD","-78.933396616680454","43.037061490873022","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141601060001","800000052196","ARMOR ELEMENTARY SCHOOL","ARMOR ELEMENTARY SCHOOL","ARMOR ELEMENTARY SCHOOL","5301 ABBOTT RD","HAMBURG","14075","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","HAMBURG CSD","-78.795765399750621","42.743481625102696","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
