"site_code","site_name","program","site_class","address","closest_band","dec_document_index","document_count","has_certificate_of_completion","certificate_documents","has_decision_or_rod","decision_documents","has_final_engineering_report","engineering_documents","has_site_management_plan","management_documents","has_periodic_review","periodic_review_documents","application_or_phase_documents","fact_sheet_documents","index_status","indexed_on"
"C915237","432 Pearl Street","Brownfield Cleanup Program","C","432 Pearl Street","within_500_ft_of_dec_boundary","https://extapps.dec.ny.gov/data/DecDocs/C915237/","21","True","Certificate of Completion.BCP.C915237.2017-12-28.Certificate of Completion for Site No. C915237, 432 Pearl Street Site.pdf","True","Decision Document.BCP.C915237.2013-09-01.Final_Pearl_St_DD.pdf","True","Report.BCP.C915237.2017-10-06.Final Engineering Report.pdf","False","","True","Report.BCP.C915237.2019-05-28.275_Franklin_&_432_Pearl_PRR.pdf | Report.BCP.C915237.2020-06-15.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915237.2021-07-07.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915237.2022-07-11.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915237.2023-06-20.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915237.2024-08-09.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915237.2025-08-13.PRR_and_IC-EC_Certification.pdf","Application.BCP.C915237.2010-07-08.Amendment_from_275_Franklin_Street.pdf","Fact Sheet.BCP.C915237.2013-07-29.432_Pearl_Street_PDD.pdf | Fact Sheet.BCP.C915237.2018-01-30.Cleanup_Requirements_Achieved_and_Certified.pdf","available","2026-07-29"
"C915242","295 Maryland Street","Brownfield Cleanup Program","C","289 & 291 Maryland Street and 97 & 129 West Avenue","within_1000_ft_of_dec_boundary","https://extapps.dec.ny.gov/data/DecDocs/C915242/","25","True","Certificate of Completion.BCP.C915242.2017-01-12.Revised COC for 295 Maryland Street.pdf","True","Decision Document.BCP.C915242.2015-04-16.Decision Doccument - RAWP.pdf","True","Report.BCP.C915242.2016-11-15.FER 295 Maryland St.pdf","True","Report.BCP.C915242.2015-11-01.Final_SMP.pdf | Report.BCP.C915242.2022-03-29.Revised_SMP_Errata_Sheet.pdf","True","Report.BCP.C915242.2018-05-14.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915242.2019-07-11.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915242.2020-05-14.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915242.2021-09-16.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915242.2024-08-15.PRR_and_IC-EC_Certification.pdf","Application.BCP.C915242.2011-03-29.BCP_Application_-_Complete.pdf","Fact Sheet.BCP.C915242.2011-07-20.IRMworkplan.pdf | Fact Sheet.BCP.C915242.2015-01-22.Remedy Proposed for Brownfield Site Contamination; Public Comment Period Announced.pdf | Fact Sheet.BCP.C915242.2017-01-02.January_2017_Fact_Sheet.pdf","available","2026-07-29"
"C915268","154 South Ogden Street Site","Brownfield Cleanup Program","C","154 South Ogden","point_inside_dec_boundary","https://extapps.dec.ny.gov/data/DecDocs/C915268/","22","True","Certificate of Completion.BCP.C915268.2014-12-18.Executed Certificate of Completion.pdf","True","Decision Document.BCP.C915268.2014-07-22.Final Decision Doccument.pdf","True","Report.BCP.C915268.2014-11-14.154 South Ogden Final Engineering Report.pdf","True","Report.BCP.C915268.2014-09-25.Final Site Management Plan.pdf","True","Report.BCP.C915268.2016-01-29.2015_PRR.pdf | Report.BCP.C915268.2017-06-15.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915268.2018-07-06.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915268.2019-07-12.PRR_and_IC-EC_Certification.pdf","Application.BCP.C915268.2012-08-29.Final_BCP_Application_and_Supporting_Documentation.pdf | Report.BCP.C915268.2012-03-12.Phase_II.pdf","Fact Sheet.BCP.C915268.2012-09-05.ENB_Public_Notice.pdf | Fact Sheet.BCP.C915268.2013-04-02.comment_period.pdf | Fact Sheet.BCP.C915268.2014-06-01.154 South Ogden Remedy Proposed Public Comment Period June 2014.pdf | Fact Sheet.BCP.C915268.2014-11-17.Cleanup Action Completed at Brownfield Site.pdf | Fact Sheet.BCP.C915268.2015-01-01.DEC Certifies Cleanup Requirements Acheived at Brownfield Site.pdf","available","2026-07-29"
"C915271","250 Delaware Avenue Site","Brownfield Cleanup Program","C","250 Delaware Avenue","within_500_ft_of_dec_boundary","https://extapps.dec.ny.gov/data/DecDocs/C915271/","15","False","","True","Decision Document.BCP.C915271.2014-12-16.Remedial Work Plan and Decision Document - December 16, 2014.pdf","True","Report.BCP.C915271.2014-12-01.Final Engineering Report Volume 1.pdf | Report.BCP.C915271.2014-12-01.Final Engineering Report Volume 2.pdf | Report.BCP.C915271.2014-12-01.Final Engineering Report Volume 3.pdf | Report.BCP.C915271.2014-12-01.Final Engineering Report Volume 4.pdf | Report.BCP.C915271.2014-12-01.Final Engineering Report Volume 5.pdf | Report.BCP.C915271.2014-12-01.Final Engineering Report Volume 6.pdf","False","","False","","Application.BCP.C915271.2012-12-18.Remedial_Investigation_and_IRM_Work_Plan_-_December_2012.pdf | Application.BCP.C915271.2013-01-31.BCP_Application_-_Final.pdf | Application.BCP.C915271.2014-11-18.Executed_Name_Change_BCA_Amendment.pdf","Fact Sheet.BCP.C915271.2014-08-01.Report Recommends No Further Action at Brownfield Site.pdf | Fact Sheet.BCP.C915271.2015-02-02.DEC Certifies Cleanup Requirements Achieved at Brownfield Site.pdf","available","2026-07-29"
"C915277","1050-1088 Niagara Street Site","Brownfield Cleanup Program","C","1050-1088 Niagara Street","within_1000_ft_of_dec_boundary","https://extapps.dec.ny.gov/data/DecDocs/C915277/","25","True","Certificate of Completion.BCP.C915277.2017-12-29.Certificate of Completion for Site No. C915277, 1050-1088 Niagara Street Site.pdf | Fact Sheet.BCP.C915277.2018-02-02.COC_Cleanup_Requirements_Achieved-Certified.pdf","True","Decision Document.BCP.C915277.2016-12-15.RI_AA Report and Decision Document - December 15, 2016.pdf","True","Report.BCP.C915277.2017-12-28.Final Engineering Report.pdf","True","Work Plan.BCP.C915277.2017-12-28.Site Management Plan.pdf","True","Report.BCP.C915277.2019-08-05.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915277.2020-08-25.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915277.2022-01-04.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915277.2022-11-10.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915277.2023-10-17.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915277.2025-06-23.Revised_2024_PRR.pdf","Application.BCP.C915277.2013-06-21.BCP_Application_Complete.pdf | Report.BCP.C915277.2013-03-28.PHASE_II_REPORT.pdf","Fact Sheet.BCP.C915277.2013-12-01.RI-IRM_Workplan_for_Comment.pdf | Fact Sheet.BCP.C915277.2015-08-17.1050-1088_Niagara_St_Site_Cleanup_Proposed.pdf | Fact Sheet.BCP.C915277.2018-02-02.COC_Cleanup_Requirements_Achieved-Certified.pdf","available","2026-07-29"
"C915279","1827 Fillmore Avenue","Brownfield Cleanup Program","C","1827 Fillmore Avenue","within_500_ft_of_dec_boundary","https://extapps.dec.ny.gov/data/DecDocs/C915279/","50","True","Certificate of Completion.BCP.C915279.2019-12-23.Executed_COC.pdf","True","Decision Document.BCP.C915279.2019-03-27.signed_Decision_Document.pdf","True","Report.BCP.C915279.2019-12-12.FINAL_ENGINEERING_REPORT.pdf | Report.BCP.C915279.2019-12-13.FINAL_ENGINEERING_REPORT-APPENDICES.pdf","True","Work Plan.BCP.C915279.2019-11-14.Site_Management_Plan_November_2019_FINAL..pdf | Work Plan.BCP.C915279.2025-02-03.SMP_Errata_Sheet.pdf","True","Report.BCP.C915279.2021-06-22.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915279.2022-05-09.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915279.2023-04-10.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915279.2024-05-13.PRR_and_IC-EC_Certification.pdf","Application.BCP.C915279.2017-08-18.BCP_Application_without_Attachment_8-Previous_Studies.pdf | Application.BCP.C915279.2017-08-18.Previous Studies 1 - Phase I EA - March 2008.pdf | Application.BCP.C915279.2017-08-18.Previous Studies 2 - Miscellaneous Documents Provided to Benchmark.pdf | Application.BCP.C915279.2017-08-18.Previous Studies 3 - Post Remediation Hazardous Material Inspection - January 2010.pdf | Application.BCP.C915279.2017-08-18.Previous Studies 4 - Pre-Demolition Asbestos Assessment - March 2010.pdf | Application.BCP.C915279.2017-08-18.Previous Studies 5 - USEPA Compliance Order - September 2011.pdf | Application.BCP.C915279.2017-08-18.Previous Studies 6 - Stohl Surveys and Sampling of Surface Materials - Sept 2011 and Oct 2011.pdf | Application.BCP.C915279.2017-08-18.Previous Studies 7 - Work Plan for EPA Consent Order - February 2012.pdf | Application.BCP.C915279.2017-08-18.Previous Studies 8 - BCP Application - May 2013.pdf | Application.BCP.C915279.2017-08-18.Previous Studies 9 - MS Analytical Subsurface Soil Investigation - August 2013.pdf | Application.BCP.C915279.2017-08-18.Previous Studies 10 - EPA Compliance Summary Report for Asbestos Abatement - October 2014.pdf | Application.BCP.C915279.2017-08-18.Previous Studies 11 - Approved BCP Application and CP Plan - May 2015.pdf | Application.BCP.C915279.2017-08-18.Previous Studies 12 - Phase I ESA - July 2017.pdf | Application.BCP.C915279.2019-08-26.Application to Amend - Amendment #1.pdf | Report.BCP.C915279.2017-07-01.Phase I ESA - July 2017.pdf | Work Plan.BCP.C915279.2017-11-13.RI_Work_Plan-FINAL-Appendix_B8-BCP_Application-May_2013.pdf | Work Plan.BCP.C915279.2017-11-13.RI_Work_Plan-FINAL-Appendix_B11-Approved_BCP_Application_and_CP_Plan-May 2015.pdf | Work Plan.BCP.C915279.2017-11-13.RI_Work_Plan-FINAL-Appendix_B12-Phase_I_ESA-July_2017.pdf","Fact Sheet.BCP.C915279.2019-02-04.remedy_proposed_-1827_Fillmore_Ave .pdf","available","2026-07-29"
"C915282","73-79 W. Huron St.","Brownfield Cleanup Program","C","73-79 W. Huron St.","point_inside_dec_boundary","https://extapps.dec.ny.gov/data/DecDocs/C915282/","30","True","Certificate of Completion.BCP.C915282.2017-12-28.Certificate of Completion for Site No. C915282, 73-79 W. Huron St. Site.pdf | Certificate of Completion.BCP.C915282.2018-01-09.Filed_Notice_of_COC.pdf | Certificate of Completion.BCP.C915282.2018-01-22.Filed Notice of Transfer of CoC.pdf","True","Decision Document.BCP.C915282.2017-11-22.Remedial Work Plan and Decision Document - November 22, 2017.pdf","True","Certificate of Completion.BCP.C915282.2018-01-22.Filed Notice of Transfer of CoC.pdf | Report.BCP.C915282.2017-12-01.FINAL Hurondel FER (110617) FULL VERSION.pdf","True","Work Plan.BCP.C915282.2021-10-02.Revised_SMP.pdf | Work Plan.BCP.C915282.2022-12-06.SMP_Errata_Sheet.pdf","True","Report.BCP.C915282.2019-05-23.2019_Periodic_Review.pdf | Report.BCP.C915282.2020-06-29.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915282.2021-07-06.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915282.2022-08-02.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915282.2023-07-14.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915282.2025-01-13.Revised_2024_PRR.pdf | Report.BCP.C915282.2025-08-15.Revised_2025_PRR.pdf | Report.BCP.C915282.2026-07-13.2026_Revised_PRR.pdf","Application.BCP.C915282.2013-10-02.BCP Application - Attachment G.pdf | Application.BCP.C915282.2013-10-02.BCP Application and Attachments A - F.pdf","Fact Sheet.BCP.C915282.2015-01-20.RI work plan available for public comment.pdf | Fact Sheet.BCP.C915282.2015-01-27.Interim Remedial Measure To Begin at Brownfield Site.pdf | Fact Sheet.BCP.C915282.2017-06-21.Proposed Remedy.pdf | Fact Sheet.BCP.C915282.2018-01-24.Requirements to Address Contamination Met and Certified .pdf","available","2026-07-29"
"C915283","89 LaSalle Avenue Site","Brownfield Cleanup Program","C","89 LaSalle Avenue","within_1000_ft_of_dec_boundary","https://extapps.dec.ny.gov/data/DecDocs/C915283/","28","True","Certificate of Completion.BCP.C915283.2015-12-29.COC.pdf | Fact Sheet.BCP.C915283.2016-01-14.Cleanup Requirements Achieved COC.pdf","False","","True","Report.BCP.C915283.2015-12-16.Final Engineering Report.pdf","True","Work Plan.BCP.C915283.2015-12-16.Site Management Plan.pdf | Work Plan.BCP.C915283.2025-08-05.Revised_SMP.pdf","True","Report.BCP, BCP.C915283, C915283.2026-04-28.2026_PRR.pdf | Report.BCP.C915283.2018-04-26.Periodic Review 2018.pdf | Report.BCP.C915283.2019-04-30.Periodic_Review_2019.pdf | Report.BCP.C915283.2020-04-17.Periodic_Review--2019-2020.pdf | Report.BCP.C915283.2021-06-24.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915283.2022-06-16.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915283.2023-07-26.PRR_and_IC-EC_Certification.pdf | Report.BCP.C915283.2024-12-06.2024_Revised_PRR.pdf | Report.BCP.C915283.2025-08-05.Revised_2025_PRR.pdf","Application.BCP.C915283.2013-09-26.revised_complete_BCP_Application_with_supporting_documents.pdf | Application.BCP.C915283.2015-07-24.Complete BCA Amendment Application.pdf | Report.BCP.C915283.1986-03-01.Phase_I_Investigation.pdf | Report.BCP.C915283.1991-04-01.Phase_II_Investigation.pdf","Fact Sheet.BCP.C915283.2014-03-31.ri_public_comment.pdf | Fact Sheet.BCP.C915283.2015-02-19.Remedy Proposed - Public Comment Period Announced.pdf | Fact Sheet.BCP.C915283.2016-01-14.Cleanup Requirements Achieved COC.pdf","available","2026-07-29"
"C915294","Pilgrim Village Redevelopment/Campus Square","Brownfield Cleanup Program","A","903 Ellicott Street","within_1000_ft_of_dec_boundary","https://extapps.dec.ny.gov/data/DecDocs/C915294/","1","False","","False","","False","","False","","False","","","","available","2026-07-29"
"C915302","1360 Niagara Street","Brownfield Cleanup Program","C","1336, 1340 and 1360 Niagara Street","within_1000_ft_of_dec_boundary","https://extapps.dec.ny.gov/data/DecDocs/C915302/","15","True","Certificate of Completion.BCP.C915302.2017-12-29.Certificate of Completion for Site No. C915302, 1360 Niagara Street.pdf | Fact Sheet.BCP.C915302.2018-01-22.Fact Sheet COC.pdf","True","Decision Document.BCP.C915302.2017-12-20.Remedial Investigation and Decision Document - December 20, 2017.pdf","True","Report.BCP.C915302.2017-11-29.Final Engineering Report - 1360 Niagara St.pdf","False","","False","","Application.BCP.C915302.2016-03-15.BCP Application - Complete.pdf | Application.BCP.C915302.2017-10-04.Complete BCA Amendment Application.pdf | Report.BCP.C915302.2015-12-31.Phase I-II Environmental Site Assessment - September 2015.pdf","Fact Sheet.BCP.C915302.2017-02-14.Fact Sheet - RI IRM  X45 Day.pdf | Fact Sheet.BCP.C915302.2017-11-25.Fact Sheet - No Further Action.pdf | Fact Sheet.BCP.C915302.2018-01-22.Fact Sheet COC.pdf","available","2026-07-29"
